clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
1,3633,0,1,0,0,0,0,0,1,0,0,0,0,0.4512381710778749,1.692467463553485,1.561977574231936,0.49502916815028286,0.40456051034190166,0.6797893072788881
4,3273,0,0,1,0,0,0,0,0,1,0,0,0,-0.15196031590518944,-1.0707865408528403,-0.6461551435742912,0.10522015170494875,0.13461996200144946,-0.007556739440374484
4,3167,0,0,0,1,0,0,0,1,0,0,0,0,-0.17276026373219167,0.31084046135032234,-0.20452860001304574,-0.0010913982346880417,-0.06565850934791893,0.006762969866276528
0,3355,0,0,1,0,0,0,0,0,0,1,0,0,0.9920368145799325,0.103596411019845,-0.6461551435742912,1.070883396989982,1.0141036840138913,1.0664214585584744
3,1687,0,0,0,1,0,0,0,1,0,0,0,0,-0.6095591680992382,0.24175911124016325,0.23709794354819969,-0.5503677395894777,-0.5707085675332818,-0.5373859837864734
4,568,0,0,0,0,1,0,1,0,0,0,0,0,-1.0463580724662849,0.8634912622315855,-0.20452860001304574,-1.3211264766518438,-1.2673293374441268,-1.2247320305057365
4,6807,0,0,1,0,0,0,0,0,1,0,0,0,0.32643848411586146,-0.44905438986141816,-0.6461551435742912,0.5304663514634951,0.5613001835718415,0.49363308629242175
2,7302,0,0,0,1,0,0,0,0,0,0,1,0,1.7200349885250097,-0.17272898942078657,1.1203510306706905,1.6378783300013775,1.562692540318682,1.5819309935979222
5,2618,0,0,0,1,0,0,1,0,0,0,0,0,-0.3807597420022138,0.1726777611300041,-0.6461551435742912,-0.23143308977056737,-0.28335249994505807,-0.23667208834679576
5,8252,0,0,1,0,0,0,0,0,1,0,0,0,0.43043822325087266,0.31084046135032234,-1.529408230696782,0.6544964930597384,0.5787157028196132,0.665469597972237
3,491,0,0,1,0,0,0,0,0,0,1,0,0,-1.0463580724662849,0.37992181146047654,-0.20452860001304574,-1.3034078849952382,-1.2586215778202414,-1.2533714491190393
0,3584,0,0,1,0,0,0,1,0,0,0,0,0,0.40963827542387043,0.034515060909685875,-0.6461551435742912,0.6102000139182225,0.5525924239479562,0.5938710514389807
3,13771,0,0,0,1,0,0,0,1,0,0,0,0,1.4704356146009834,0.1726777611300041,2.003604117793181,1.4252552301221038,1.2927519919782298,1.395774772611454
6,2341,0,0,0,1,0,0,0,1,0,0,0,0,-0.6095591680992382,0.587165861790954,-0.20452860001304574,-0.5680863312460843,-0.5968318464049387,-0.5230662744798217
7,2529,0,0,1,0,0,0,0,1,0,0,0,0,-0.6303591159262404,-0.7944611404122088,0.23709794354819969,-0.5415084437611749,-0.5097542501660826,-0.6089845303197297
7,2395,0,0,0,0,1,0,0,1,0,0,0,0,-0.5679592724452337,-1.4852746415137903,0.23709794354819969,-0.4086190063366287,-0.3704300961839134,-0.5517056930931243
3,757,0,0,1,0,0,0,0,1,0,0,0,0,-1.0255581246392824,0.103596411019845,-1.0877816871355366,-1.214814926712207,-1.1802517412052715,-1.196092611892434
3,4234,0,0,0,1,0,0,0,1,0,0,0,0,0.2016387971538483,-2.1070067925052123,0.6787244871094451,0.5304663514634951,0.4829303469568716,0.2358783187726978
2,4480,0,1,0,0,0,0,1,0,0,0,0,0,0.43043822325087266,-1.6925186918442676,2.886857204915672,0.6633557888880414,0.6309622605629261,0.4220345397591648
2,728,0,0,1,0,0,1,0,0,0,0,0,0,-0.983958228985278,0.1726777611300041,-0.6461551435742912,-1.1262219684291768,-1.1367129430858431,-1.1244940653591775
3,872,0,0,0,1,0,0,1,0,0,0,0,0,-1.0255581246392824,-0.5181357399715772,0.6787244871094451,-1.1970963350556014,-1.2324982989485846,-1.2676911584256902
1,3105,0,0,0,0,1,0,0,0,0,1,0,0,0.2016387971538483,-1.5543559916239493,2.445230661354427,0.5038884639785858,0.44809930846132934,0.2788374466926521
4,776,0,0,0,1,0,0,0,0,1,0,0,0,-1.0463580724662849,-0.3108916896411048,0.23709794354819969,-1.2502521100254194,-1.2673293374441268,-1.2963305770389928
1,4191,0,1,0,0,0,1,0,0,0,0,0,0,0.49283806673187935,-2.866901643716953,2.445230661354427,0.8228231137974961,0.8312407319122945,0.43635424906581644
3,1707,0,0,1,0,0,0,1,0,0,0,0,0,-0.5679592724452337,-0.6562984401918955,-1.0877816871355366,-0.42633759799323523,-0.38784561543168494,-0.480107146559868
1,3481,0,0,0,0,1,0,0,0,0,1,0,0,0.2016387971538483,0.37992181146047654,1.561977574231936,0.36213973072573746,0.36972947184635935,0.4220345397591648
3,2479,0,0,0,1,0,0,0,0,1,0,0,0,-0.21436015938619613,0.5180845116807948,-1.0877816871355366,-0.04538787737620317,-0.09178178821957585,-0.007556739440374484
5,575,0,0,0,0,1,0,1,0,0,0,0,0,-1.1087579159472913,0.103596411019845,0.23709794354819969,-1.45401591407639,-1.3979457318024107,-1.4252079607988553
1,2397,0,0,0,0,1,0,1,0,0,0,0,0,-0.1935602115591939,0.656247211901113,0.6787244871094451,-0.036528581547900306,0.0040035676431656566,0.06404180709288185
1,10472,0,0,1,0,0,0,0,1,0,0,0,0,1.6576351450440034,-0.03456628920046833,-0.6461551435742912,1.55814466754665,1.5539847806947966,1.56761128429127
1,3350,0,1,0,0,0,0,0,0,1,0,0,0,0.2016387971538483,-2.245169492725531,1.561977574231936,0.47731057649367714,0.5090536258285285,0.20723890015939514
3,3553,0,0,1,0,0,0,1,0,0,0,0,0,-0.1935602115591939,-0.3108916896411048,-0.6461551435742912,0.016627193421917697,0.03883460613870795,-0.007556739440374484
1,4204,0,1,0,0,0,0,0,1,0,0,0,0,0.40963827542387043,0.1726777611300041,0.6787244871094451,0.5127477598068894,0.5351769047001854,0.5509119235190271
5,3235,0,0,0,0,1,0,0,0,1,0,0,0,-0.21436015938619613,-1.2089492410731586,1.1203510306706905,0.034345785078524226,0.091081163882021,-0.0791552859736308
4,2491,0,0,0,0,1,0,0,0,0,0,1,0,-0.1311603680781872,0.37992181146047654,1.1203510306706905,0.034345785078524226,0.04754236576259333,0.0926812257061845
1,4516,0,0,0,0,1,0,0,0,1,0,0,0,0.5136380145588816,0.587165861790954,2.003604117793181,0.627918605574829,0.6483777798106977,0.7227484351988424
1,4348,0,0,0,0,1,1,0,0,0,0,0,0,0.40963827542387043,0.37992181146047654,-0.6461551435742912,0.5216070556351923,0.5613001835718415,0.5938710514389807
4,2032,0,0,1,0,0,0,1,0,0,0,0,0,-0.5055594289642269,-0.3108916896411048,-1.0877816871355366,-0.3731818230234164,-0.3965533750555703,-0.4228283093332627
4,15393,0,0,0,1,0,0,0,0,0,0,1,0,2.614432745086105,-2.3142508428356896,-1.0877816871355366,2.3731998837505315,2.2680210698534125,1.939923726264205
3,711,0,1,0,0,0,0,1,0,0,0,0,0,-0.9423583333312736,-2.72873894349664,1.1203510306706905,-0.9756139393480249,-0.9364344717364755,-1.2247320305057365
1,3975,0,0,0,0,1,1,0,0,0,0,0,0,0.2016387971538483,-0.379973039751259,-1.529408230696782,0.45073268900876773,0.4742225873329862,0.4220345397591648
4,3198,0,0,1,0,0,0,1,0,0,0,0,0,-0.1935602115591939,0.37992181146047654,-0.6461551435742912,-0.07196576486111257,-0.039535230476262014,-0.007556739440374484
3,645,0,0,1,0,0,0,0,1,0,0,0,0,-1.0047581768122802,-0.17272898942078657,-0.6461551435742912,-1.1882370392272976,-1.1541284623336145,-1.196092611892434
2,1595,0,0,0,1,0,1,0,0,0,0,0,0,-0.5055594289642269,-1.0707865408528403,1.1203510306706905,-0.3200260480535984,-0.36172233656002806,-0.4657874372532164
4,6415,0,0,0,1,0,0,0,0,0,0,1,0,0.9712368667529303,0.31084046135032234,0.6787244871094451,1.0000090303635574,1.0228114436377769,1.0664214585584744
1,6194,0,0,0,1,0,0,0,1,0,0,0,0,1.616035249389999,-1.8306813920645808,0.6787244871094451,1.7176119924561049,1.6062313384381095,1.3814550633048028
1,408,0,0,0,0,1,0,0,0,1,0,0,0,-1.0255581246392824,0.034515060909685875,0.6787244871094451,-1.2768299975103288,-1.2237905393246993,-1.2533714491190393
